day,timestamp,global_ts,move,mid_before,mid_after,n_trades,max_qty,total_qty,dominant_share,time_span,label
-1,1600,-998400,6.5,9988.0,9994.5,0,0,0,,0,NO_TRADES
-1,1900,-998100,10.5,9990.5,10001.0,0,0,0,,0,NO_TRADES
-1,2000,-998000,-8.0,10001.0,9993.0,0,0,0,,0,NO_TRADES
-1,2700,-997300,11.0,9992.0,10003.0,0,0,0,,0,NO_TRADES
-1,2800,-997200,-10.0,10003.0,9993.0,0,0,0,,0,NO_TRADES
-1,3300,-996700,-8.0,9993.0,9985.0,1,3,3,1.0,0,WHALE
-1,3400,-996600,8.0,9985.0,9993.0,1,3,3,1.0,0,WHALE
-1,4500,-995500,11.0,9994.0,10005.0,1,2,2,1.0,0,WHALE
-1,4600,-995400,-11.0,10005.0,9994.0,1,2,2,1.0,0,WHALE
-1,6100,-993900,-9.5,9995.5,9986.0,0,0,0,,0,NO_TRADES
-1,6200,-993800,8.0,9986.0,9994.0,0,0,0,,0,NO_TRADES
-1,7400,-992600,9.0,9987.0,9996.0,0,0,0,,0,NO_TRADES
-1,7500,-992500,-9.0,9996.0,9987.0,0,0,0,,0,NO_TRADES
-1,8400,-991600,-6.5,9993.5,9987.0,0,0,0,,0,NO_TRADES
-1,8500,-991500,8.0,9987.0,9995.0,0,0,0,,0,NO_TRADES
-1,10100,-989900,-9.5,9997.5,9988.0,1,8,8,1.0,0,WHALE
-1,10200,-989800,7.0,9988.0,9995.0,1,8,8,1.0,0,WHALE
-1,10500,-989500,8.5,9995.5,10004.0,0,0,0,,0,NO_TRADES
-1,10600,-989400,-7.0,10004.0,9997.0,0,0,0,,0,NO_TRADES
-1,11100,-988900,11.0,9993.0,10004.0,0,0,0,,0,NO_TRADES
-1,11200,-988800,-15.0,10004.0,9989.0,0,0,0,,0,NO_TRADES
-1,11300,-988700,8.0,9989.0,9997.0,0,0,0,,0,NO_TRADES
-1,12300,-987700,-8.0,9997.0,9989.0,1,5,5,1.0,0,WHALE
-1,12400,-987600,8.0,9989.0,9997.0,1,5,5,1.0,0,WHALE
-1,14000,-986000,-10.0,9998.0,9988.0,0,0,0,,0,NO_TRADES
-1,14100,-985900,13.0,9988.0,10001.0,0,0,0,,0,NO_TRADES
-1,18100,-981900,-8.0,10002.0,9994.0,1,6,6,1.0,0,WHALE
-1,18200,-981800,7.0,9994.0,10001.0,1,6,6,1.0,0,WHALE
-1,19800,-980200,-6.0,10000.0,9994.0,0,0,0,,0,NO_TRADES
-1,19900,-980100,7.0,9994.0,10001.0,0,0,0,,0,NO_TRADES
-1,21800,-978200,7.0,10000.0,10007.0,0,0,0,,0,NO_TRADES
