day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;ASH_COATED_OSMIUM;9992;23;9989;15;9987;12;10003.0;12;10005.0;7;10006.0;14;9997.5;0.0
1;0;INTARIAN_PEPPER_ROOT;14996;9;14993;10;;;15009.0;12;15010.0;10;;;15002.5;0.0
1;100;ASH_COATED_OSMIUM;9990;11;9988;15;;;10006.0;10;10008.0;10;;;9997.5;0.0
1;100;INTARIAN_PEPPER_ROOT;14993;10;14992;9;;;15007.0;10;15009.0;22;;;15000.0;0.0
1;200;ASH_COATED_OSMIUM;9994;13;9991;14;;;10010.0;27;10012.0;10;;;10002.5;0.0
1;200;INTARIAN_PEPPER_ROOT;14994;11;;;;;15009.0;19;;;;;15001.0;0.0
1;300;ASH_COATED_OSMIUM;9994;30;;;;;10012.0;11;;;;;10002.5;0.0
1;300;INTARIAN_PEPPER_ROOT;14994;8;;;;;15008.0;11;;;;;15000.5;0.0
1;400;ASH_COATED_OSMIUM;9990;21;;;;;10006.0;11;;;;;9997.5;0.0
1;400;INTARIAN_PEPPER_ROOT;14992;10;14989;8;;;15004.0;12;15007.0;11;;;14998.5;0.0
1;500;ASH_COATED_OSMIUM;9994;13;9993;10;;;10010.0;15;10012.0;11;;;10002.5;0.0
1;500;INTARIAN_PEPPER_ROOT;14992;12;14989;8;;;15010.0;11;15013.0;9;;;15000.5;0.0
1;600;ASH_COATED_OSMIUM;9994;15;9992;29;;;10012.0;13;10015.0;26;;;10002.5;0.0
1;600;INTARIAN_PEPPER_ROOT;14995;12;14994;6;14993;8;15008.0;9;15009.0;20;15011.0;5;15001.5;0.0
1;700;ASH_COATED_OSMIUM;9993;13;9991;15;9990;26;10012.0;12;10014.0;15;10015.0;28;10002.5;0.0
1;700;INTARIAN_PEPPER_ROOT;14992;10;14989;8;14986;11;15007.0;22;15008.0;11;15010.0;18;15000.0;0.0
1;800;ASH_COATED_OSMIUM;9990;10;9987;10;9984;14;10006.0;10;10009.0;14;10010.0;10;9997.5;0.0
1;800;INTARIAN_PEPPER_ROOT;14990;8;14988;12;;;15004.0;9;15005.0;12;;;14996.5;0.0
1;900;ASH_COATED_OSMIUM;9988;13;9985;13;;;10007.0;14;10009.0;14;;;9997.5;0.0
1;900;INTARIAN_PEPPER_ROOT;14992;11;;;;;15010.0;21;;;;;15000.5;0.0
1;1000;ASH_COATED_OSMIUM;9994;12;9993;28;9992;14;10012.0;12;10015.0;15;10018.0;12;10002.5;0.0
1;1000;INTARIAN_PEPPER_ROOT;14993;17;14992;12;;;15011.0;9;15012.0;10;;;15002.0;0.0
1;1100;ASH_COATED_OSMIUM;9994;11;;;;;10010.0;15;;;;;10002.5;0.0
1;1100;INTARIAN_PEPPER_ROOT;14994;22;14993;17;;;15007.0;11;15009.0;11;;;15001.0;0.0
1;1200;ASH_COATED_OSMIUM;9994;14;9991;13;;;10010.0;12;10012.0;15;;;10002.5;0.0
1;1200;INTARIAN_PEPPER_ROOT;14992;23;;;;;15005.0;11;;;;;14998.5;0.0
1;1300;ASH_COATED_OSMIUM;9990;21;9988;12;;;10006.0;30;10009.0;12;;;9997.5;0.0
1;1300;INTARIAN_PEPPER_ROOT;14996;10;14993;10;14990;22;15013.0;8;15014.0;21;15017.0;11;15004.0;0.0
